lig_1,lig_2,freenrg,error,engine
ejm_31,ejm_42,-0.265,0.1296,SOMD
ejm_45,intermediate_01,0.5171,0.3028,SOMD
ejm_45,ejm_31,3.6,0.1417,SOMD
intermediate_01,ejm_45,-2.6545,0.3435,SOMD
ejm_31,ejm_45,-3.7449,0.1426,SOMD
ejm_47,ejm_55,0.2832,0.2561,SOMD
ejm_55,ejm_47,0.9925,0.234,SOMD
jmc_28,jmc_27,0.122,0.0556,SOMD
jmc_28,jmc_30,0.5527,0.1377,SOMD
jmc_27,jmc_28,0.8875,0.0625,SOMD
jmc_30,jmc_28,0.4271,0.1992,SOMD
ejm_55,ejm_31,0.6239,0.117,SOMD
ejm_31,ejm_55,-1.1883,0.1223,SOMD
ejm_55,ejm_50,0.6694,0.0797,SOMD
ejm_50,ejm_55,-0.8058,0.0803,SOMD
ejm_54,ejm_31,0.9808,0.1783,SOMD
ejm_31,ejm_54,-2.3703,0.1752,SOMD
ejm_54,ejm_50,0.049,0.1193,SOMD
ejm_50,ejm_54,-1.2954,0.1074,SOMD
jmc_23,jmc_27,0.4752,0.0992,SOMD
jmc_27,jmc_23,0.0055,0.0981,SOMD
jmc_23,ejm_46,1.119,0.0729,SOMD
ejm_46,jmc_23,-0.2669,0.0777,SOMD
ejm_44,ejm_43,-2.116,0.1293,SOMD
ejm_43,ejm_44,2.1483,0.1313,SOMD
ejm_44,ejm_31,-2.0783,0.5403,SOMD
ejm_31,ejm_44,5.2588,0.6648,SOMD
jmc_30,jmc_27,-0.3266,0.1025,SOMD
jmc_27,ejm_46,1.0183,0.2061,SOMD
ejm_46,jmc_27,-0.4646,0.2171,SOMD
jmc_27,jmc_30,0.5287,0.0931,SOMD
ejm_43,ejm_31,-0.9378,0.2461,SOMD
ejm_31,ejm_43,1.427,0.2477,SOMD
ejm_42,ejm_31,0.434,0.1359,SOMD
ejm_42,ejm_50,0.2508,0.0589,SOMD
ejm_50,ejm_42,-0.5109,0.0628,SOMD
intermediate_01,ejm_46,-0.5543,0.0832,SOMD
ejm_46,intermediate_01,1.3681,0.0924,SOMD
intermediate_01,ejm_47,-2.2751,0.1637,SOMD
ejm_47,intermediate_01,1.2581,0.4261,SOMD
intermediate_01,ejm_48,0.4828,0.1742,SOMD
ejm_48,intermediate_01,-0.2218,0.1983,SOMD
intermediate_01,ejm_49,-1.7967,0.1571,SOMD
ejm_49,intermediate_01,-0.2389,0.1637,SOMD
intermediate_01,ejm_31,-2.2004,0.1401,SOMD
ejm_31,intermediate_01,1.9387,0.1332,SOMD
