lig_1,lig_2,freenrg,error,engine
ejm_45,intermediate_01,2.3226,0.2996,SOMD
intermediate_01,ejm_45,1.4614,0.3209,SOMD
ejm_45,ejm_31,4.7868,0.1606,SOMD
ejm_31,ejm_45,-3.6412,0.1333,SOMD
ejm_47,ejm_55,-1.2002,0.2365,SOMD
ejm_55,ejm_47,-2.7155,0.2159,SOMD
jmc_28,jmc_27,-0.1777,0.0572,SOMD
jmc_27,jmc_28,0.4787,0.0589,SOMD
jmc_28,jmc_30,0.1193,0.1359,SOMD
jmc_30,jmc_28,0.9502,0.1418,SOMD
ejm_55,ejm_31,0.3196,0.1154,SOMD
ejm_31,ejm_55,-0.2764,0.1123,SOMD
ejm_55,ejm_50,-0.7131,0.0914,SOMD
ejm_50,ejm_55,-0.7301,0.0886,SOMD
ejm_54,ejm_31,1.4992,0.2022,SOMD
ejm_31,ejm_54,-1.774,0.1697,SOMD
ejm_54,ejm_50,1.6075,0.123,SOMD
ejm_50,ejm_54,-1.3525,0.1119,SOMD
jmc_23,jmc_27,0.1739,0.0958,SOMD
jmc_27,jmc_23,0.1284,0.0938,SOMD
jmc_23,ejm_46,1.0235,0.0746,SOMD
ejm_46,jmc_23,-0.9366,0.0758,SOMD
ejm_44,ejm_43,-2.1938,0.1466,SOMD
ejm_43,ejm_44,0.7475,0.1426,SOMD
ejm_44,ejm_31,-2.3304,0.7982,SOMD
jmc_27,jmc_30,0.4148,0.0995,SOMD
ejm_31,ejm_44,4.5459,0.5799,SOMD
jmc_27,ejm_46,0.2183,0.2098,SOMD
ejm_46,jmc_27,-0.9484,0.2009,SOMD
jmc_30,jmc_27,-0.0936,0.0947,SOMD
ejm_43,ejm_31,-0.1487,0.2819,SOMD
ejm_31,ejm_43,1.5412,0.2399,SOMD
ejm_42,ejm_31,0.2272,0.1249,SOMD
ejm_31,ejm_42,-0.2962,0.1292,SOMD
ejm_42,ejm_50,0.4156,0.0614,SOMD
ejm_50,ejm_42,-0.3319,0.0516,SOMD
intermediate_01,ejm_46,-2.021,0.0882,SOMD
ejm_46,intermediate_01,1.9914,0.0859,SOMD
intermediate_01,ejm_47,-0.6041,0.1702,SOMD
ejm_47,intermediate_01,1.7838,0.1613,SOMD
intermediate_01,ejm_48,-0.1552,0.1611,SOMD
ejm_48,intermediate_01,3.601,0.1558,SOMD
intermediate_01,ejm_49,-0.4021,0.1704,SOMD
ejm_49,intermediate_01,0.8947,0.1649,SOMD
intermediate_01,ejm_31,2.483,0.1374,SOMD
ejm_31,intermediate_01,1.629,0.1278,SOMD
