lig_1,lig_2,freenrg,error,engine
ejm_45,ejm_31,0.4046,0.1197,SOMD
ejm_46,jmc_27,-0.386,0.1956,SOMD
ejm_31,ejm_45,0.0039,0.1192,SOMD
ejm_47,ejm_31,0.4919,1.1999,SOMD
ejm_31,ejm_47,5.4729,2.7682,SOMD
jmc_28,jmc_27,-1.0147,0.0541,SOMD
jmc_28,jmc_30,-0.727,0.1211,SOMD
jmc_27,jmc_28,1.2457,0.0565,SOMD
jmc_30,jmc_28,0.7658,0.1257,SOMD
ejm_55,ejm_54,-1.3848,0.1188,SOMD
ejm_54,ejm_55,1.1604,0.1255,SOMD
ejm_55,ejm_48,1.8268,0.1839,SOMD
ejm_48,ejm_55,0.9674,0.197,SOMD
ejm_55,ejm_46,-1.3304,3.0991,SOMD
ejm_46,ejm_55,-0.6102,0.1335,SOMD
ejm_55,ejm_42,0.5751,0.0578,SOMD
ejm_42,ejm_55,-0.0187,0.0622,SOMD
ejm_55,ejm_49,0.6201,0.2518,SOMD
ejm_49,ejm_55,-0.832,0.2342,SOMD
ejm_54,ejm_42,0.7675,0.1362,SOMD
ejm_42,ejm_54,-0.4112,0.2052,SOMD
ejm_48,ejm_31,-1.5405,2.6579,SOMD
ejm_31,ejm_48,0.5016,0.2828,SOMD
jmc_23,jmc_27,0.2558,0.0868,SOMD
jmc_27,jmc_23,-0.2258,0.0905,SOMD
jmc_23,ejm_46,0.8729,0.0741,SOMD
ejm_46,jmc_23,-0.2945,0.0689,SOMD
ejm_44,ejm_43,-2.6737,0.1266,SOMD
ejm_43,ejm_44,2.2478,0.1252,SOMD
ejm_44,ejm_42,-2.1601,0.2762,SOMD
ejm_42,ejm_44,3.6965,0.2895,SOMD
jmc_27,ejm_46,0.7674,0.1904,SOMD
jmc_27,jmc_30,0.619,0.1099,SOMD
jmc_30,jmc_27,-0.0607,0.0965,SOMD
ejm_43,ejm_42,-0.1682,0.1236,SOMD
ejm_42,ejm_43,1.3761,0.1456,SOMD
ejm_46,ejm_31,-4.927,1.7776,SOMD
ejm_31,ejm_46,-1.0319,0.247,SOMD
ejm_42,ejm_31,0.0836,0.1428,SOMD
ejm_31,ejm_42,-0.2443,0.1115,SOMD
ejm_42,ejm_50,0.2519,0.0547,SOMD
ejm_50,ejm_42,0.1593,0.0499,SOMD
ejm_31,ejm_50,0.0585,0.0964,SOMD
ejm_50,ejm_31,-0.0556,0.0867,SOMD
ejm_31,ejm_49,0.9303,0.531,SOMD
ejm_49,ejm_31,0.0849,0.5203,SOMD
