lig_1,lig_2,freenrg,error,engine
ejm_45,intermediate_01,2.3037,0.3008,SOMD
intermediate_01,ejm_45,6.9753,0.3235,SOMD
ejm_45,ejm_31,0.4832,0.1277,SOMD
ejm_31,ejm_45,-1.5905,0.1367,SOMD
ejm_47,ejm_55,-0.5807,0.2239,SOMD
ejm_55,ejm_47,0.2423,0.219,SOMD
jmc_28,jmc_27,-0.5706,0.0607,SOMD
jmc_27,jmc_28,-0.0167,0.0572,SOMD
jmc_28,jmc_30,-0.4059,0.142,SOMD
jmc_30,jmc_28,0.2293,0.1468,SOMD
ejm_55,ejm_31,0.6019,0.1212,SOMD
ejm_31,ejm_55,-0.7321,0.1184,SOMD
ejm_55,ejm_50,0.9425,0.0846,SOMD
ejm_50,ejm_55,-0.6975,0.093,SOMD
ejm_54,ejm_31,1.1587,0.1856,SOMD
ejm_31,ejm_54,-3.5241,0.181,SOMD
ejm_54,ejm_50,1.429,0.109,SOMD
ejm_50,ejm_54,-3.5922,0.1164,SOMD
jmc_23,jmc_27,-0.1359,0.0999,SOMD
jmc_27,jmc_23,0.2127,0.106,SOMD
jmc_23,ejm_46,0.4959,0.0781,SOMD
ejm_46,jmc_23,-0.2259,0.0831,SOMD
ejm_44,ejm_43,-2.8006,0.1432,SOMD
ejm_43,ejm_44,2.2331,0.1582,SOMD
ejm_44,ejm_31,-1.8672,0.5838,SOMD
ejm_31,ejm_44,0.3396,0.6083,SOMD
jmc_27,ejm_46,0.2533,0.2079,SOMD
ejm_46,jmc_27,0.166,0.2206,SOMD
jmc_27,jmc_30,0.5703,0.1084,SOMD
jmc_30,jmc_27,-0.0161,0.1093,SOMD
ejm_43,ejm_31,-0.5467,0.2647,SOMD
ejm_31,ejm_43,-1.7449,0.2254,SOMD
ejm_50,ejm_42,-0.4523,0.0585,SOMD
ejm_42,ejm_31,0.6463,0.1265,SOMD
ejm_31,ejm_42,-0.4676,0.1349,SOMD
ejm_42,ejm_50,0.7334,0.0538,SOMD
intermediate_01,ejm_46,-2.1929,0.0873,SOMD
ejm_46,intermediate_01,1.6217,0.1142,SOMD
intermediate_01,ejm_47,-2.3154,0.1469,SOMD
ejm_47,intermediate_01,0.7309,0.1531,SOMD
intermediate_01,ejm_48,-1.2807,0.1294,SOMD
ejm_48,intermediate_01,2.0314,0.1668,SOMD
intermediate_01,ejm_49,-0.9728,0.1658,SOMD
ejm_49,intermediate_01,0.8787,0.1694,SOMD
intermediate_01,ejm_31,0.8516,0.1336,SOMD
ejm_31,intermediate_01,1.9872,0.1369,SOMD
